name,type,province,综合指标（校友会网）_科学研究,综合指标（校友会网）_人才培养,综合指标（校友会网）_综合声誉,学科排名（武书连）_综合实力,学科排名（武书连）_自然科学,学科排名（武书连）_社会科学,学科排名（武书连）_理学,学科排名（武书连）_工学,学科排名（武书连）_农学,学科排名（武书连）_医学,学科排名（武书连）_哲学,学科排名（武书连）_经济学,学科排名（武书连）_法学,学科排名（武书连）_教育学,学科排名（武书连）_文学,学科排名（武书连）_历史学,学科排名（武书连）_管理学,学科排名（武书连）_艺术学
北京大学,综合,北京,91.81,100,100,0.7,0.7,0.7,0.7,0.7,0,0,0.4,0.7,0.7,0,0.8,0.7,0.6,0.6
清华大学,理工,北京,100,87.3,92.46,1,1,1,1,0.9,0,1,1,1,1,0,1,1,1,0.9
复旦大学,综合,上海,54.25,53.64,53.97,0.8,0.8,0.7,0.7,0.8,0,0,0,0.7,0.5,0,0.4,0,0.7,0.6
浙江大学,综合,浙江,49.96,50.54,64.04,0.9,0.9,0.8,0.8,1,0,0,0,0.6,0.7,0.7,0.7,0,0.9,0.5
上海交通大学,综合,上海,57.64,33.91,46.89,0.8,0.8,0.5,0.7,0.8,0,0,0,0.4,0.3,0.2,0.1,0,0.6,0
南京大学,综合,江苏,42.53,42.83,47.72,0.8,0.8,0.7,0.7,0.8,0,0,0,0.8,0.6,0,0.6,0,0.8,0
中山大学,综合,广东,41.79,30.24,39.33,0.8,0.8,0.7,0.7,0.9,0,0,0,0.6,0.6,0,0.6,0,0.8,0
武汉大学,综合,湖北,35.7,35.86,35.81,0.9,0.9,0.7,0.8,0.9,0,0,0,0.7,0.7,0.7,0.6,0,0.8,0
中国科技大学,理工,安徽,36.5,26.31,48.37,0.7,0.7,0.6,0.7,0.7,0.9,0,0,0.6,0.4,0,0.6,0,0.7,0.6
吉林大学,综合,吉林,32.99,32.75,32.65,0.9,0.9,1,0.9,0.7,0,0,0.7,0.9,0.9,1,1,1,0.9,1
华中科技大学,理工,湖北,35.32,27.42,28.65,0.7,0.7,0.6,0.5,0.8,0,0,0,0.5,0.5,0,0.5,0,0.7,0
四川大学,综合,四川,29.81,27.8,29.83,0.9,0.9,0.8,0.9,1,0,0,0.3,0.6,0.6,0,0.6,0,0.9,0.6
中国人民大学,综合,北京,14.5,40.16,27.92,0.8,0.9,0.7,0.8,0.9,0,0,0,0.7,0.6,0.6,0.7,0,0.9,0.1
