name,type,province,综合指标（校友会网）_科学研究,综合指标（校友会网）_人才培养,综合指标（校友会网）_综合声誉,综合指标（武书连）_人才培养,综合指标（武书连）_研究生培养,综合指标（武书连）_本科生培养,综合指标（武书连）_科学研究,综合指标（武书连）_自然科学研究,综合指标（武书连）_社会科学研究,学科排名（武书连）_综合实力,学科排名（武书连）_自然科学,学科排名（武书连）_社会科学,学科排名（武书连）_理学,学科排名（武书连）_工学,学科排名（武书连）_农学,学科排名（武书连）_医学,学科排名（武书连）_哲学,学科排名（武书连）_经济学,学科排名（武书连）_法学,学科排名（武书连）_教育学,学科排名（武书连）_文学,学科排名（武书连）_历史学,学科排名（武书连）_管理学,学科排名（武书连）_艺术学
安徽大学,综合,安徽,0.6184,0.6468,0.6476,0.103138516,0.064253694,0.181362725,0.047696803,0.029005801,0.0671396,0.7,0.7,0.7,0.7,0.7,0,0,0.4,0.7,0.7,0,0.8,0.7,0.6,0.6
北京大学,综合,北京,1,1,1,1,1,1,0.986679271,0.75355071,1,1,1,1,1,0.9,0,1,1,1,1,0,1,1,1,0.9
北京工业大学,理工,北京,0.6286,0.6483,0.6476,0.140401464,0.096463556,0.228790915,0.082932279,0.084116823,0.031416266,0.8,0.8,0.7,0.7,0.8,0,0,0,0.7,0.5,0,0.4,0,0.7,0.6
北京航空航天大学,理工,北京,0.7208,0.6937,0.7038,0.313186204,0.277934584,0.384101536,0.258422138,0.265253051,0.089941728,0.9,0.9,0.8,0.8,1,0,0,0,0.6,0.7,0.7,0.7,0,0.9,0.5
北京化工大学,理工,北京,0.6386,0.6471,0.669,0.166130642,0.119541757,0.259853039,0.114558267,0.128725745,0.011654421,0.8,0.8,0.5,0.7,0.8,0,0,0,0.4,0.3,0.2,0.1,0,0.6,0
北京交通大学,理工,北京,0.6411,0.6576,0.6948,0.196184984,0.102274614,0.384769539,0.081557236,0.074514903,0.051938181,0.8,0.8,0.7,0.7,0.8,0,0,0,0.8,0.6,0,0.6,0,0.8,0
北京科技大学,理工,北京,0.6475,0.6743,0.6915,0.165687036,0.135978748,0.225450902,0.115073909,0.118223645,0.039777046,0.8,0.8,0.7,0.7,0.9,0,0,0,0.6,0.6,0,0.6,0,0.8,0
北京理工大学,理工,北京,0.6628,0.6777,0.6976,0.258622602,0.210194255,0.355711423,0.203420419,0.216643329,0.050924753,0.9,0.9,0.7,0.8,0.9,0,0,0,0.7,0.7,0.7,0.6,0,0.8,0
北京师范大学,师范,北京,0.7466,0.7434,0.7311,0.342686037,0.272953678,0.482965932,0.25455483,0.136227245,0.405371168,0.7,0.7,0.6,0.7,0.7,0.9,0,0,0.6,0.4,0,0.6,0,0.7,0.6
北京邮电大学,理工,北京,0.6355,0.6436,0.6674,0.136409005,0.093475012,0.222778891,0.066259883,0.067313463,0.024828984,0.9,0.9,1,0.9,0.7,0,0,0.7,0.9,0.9,1,1,1,0.9,1
大连理工大学,理工,辽宁,0.6684,0.6849,0.6887,0.354885217,0.324423045,0.416165665,0.308525266,0.321164233,0.096022295,0.7,0.7,0.6,0.5,0.8,0,0,0,0.5,0.5,0,0.5,0,0.7,0
电子科技大学,理工,四川,0.6484,0.6612,0.692,0.220028834,0.172505396,0.315631263,0.146270196,0.149529906,0.052444895,0.9,0.9,0.8,0.9,1,0,0,0.3,0.6,0.6,0,0.6,0,0.9,0.6
东北大学,理工,辽宁,0.6562,0.6766,0.6979,0.222801375,0.147268803,0.374749499,0.137332417,0.131726345,0.071193311,0.8,0.9,0.7,0.8,0.9,0,0,0,0.7,0.6,0.6,0.7,0,0.9,0.1
东北师范大学,师范,吉林,0.6499,0.67,0.6903,0.186758345,0.162377553,0.235804943,0.139223101,0.102520504,0.150747403,0.8,0.8,0.7,0.7,0.9,0,0,0.5,0.7,0.6,0.3,0.7,0,0.8,0.6
东华大学,理工,上海,0.6222,0.6484,0.6488,0.166796052,0.123858542,0.253173013,0.113956686,0.123724745,0.022548771,0.8,0.8,0.9,0.9,0.7,0,0,0.3,0.8,0.9,0.9,0.9,0.8,0.6,0.8
东南大学,综合,江苏,0.6933,0.6988,0.7032,0.393589886,0.315789474,0.5501002,0.2964077,0.291358272,0.136052698,0.8,0.8,0.6,0.7,0.9,0,0,0,0.5,0.3,0.4,0.5,0,0.7,0.6
福建师范大学,师范,福建,0.626,0.6481,0.6066,0.105134745,0.066578117,0.182698731,0.053368855,0.023704741,0.09728908,0.9,0.9,0.9,0.8,1,0,0.7,0.6,0.8,0.7,0,0.7,0,0.9,1
福州大学,理工,福建,0.6254,0.6462,0.669,0.130974825,0.088826166,0.215764863,0.078119629,0.077115423,0.034963263,0.7,0.6,0.8,0.7,0.5,0,0,0,0.7,0.7,0.8,0.8,0.7,0.6,0.9
复旦大学,综合,上海,0.8154,0.8144,0.7623,0.62859044,0.642370912,0.600868403,0.645926435,0.531106221,0.558905498,0.7,0.8,0.7,0.8,0.8,0,0.2,0,0.6,0.6,0,0.6,0,0.8,0.5
广西大学,综合,广西,0.6177,0.6436,0.6542,0.117555728,0.067076208,0.219438878,0.048470265,0.041608322,0.037496833,1,1,1,1,0.9,0,1,0.9,1,1,0,1,1,1,0
哈尔滨工程大学,理工,黑龙江,0.6433,0.646,0.6854,0.145835644,0.110078034,0.217768871,0.093674802,0.098419684,0.02685584,0.7,0.7,0.7,0.7,0.7,0.7,0.2,0.1,0.7,0.7,0.7,0.7,0,0.7,0.5
哈尔滨工业大学,理工,黑龙江,0.7141,0.7204,0.7041,0.481534879,0.469201395,0.506346025,0.444912341,0.49129826,0.0671396,0.8,0.8,0.7,0.4,0.8,0,0,0,0.3,0.5,0,0.5,0,0.7,0
合肥工业大学,理工,安徽,0.6259,0.6528,0.6718,0.145059332,0.082517018,0.270875084,0.058009625,0.054510902,0.032936407,1,1,0.8,0.9,1,0,0,0,0.6,0.6,0,0.7,0,0.9,0.7
